traffic_type,hop_count,load_level,protocol,average_end_to_end_delay_n,average_end_to_end_delay_mean,average_end_to_end_delay_sample_std,average_end_to_end_delay_median,average_end_to_end_delay_minimum,average_end_to_end_delay_maximum,average_end_to_end_delay_ci95_low,average_end_to_end_delay_ci95_high,p95_end_to_end_delay_n,p95_end_to_end_delay_mean,p95_end_to_end_delay_sample_std,p95_end_to_end_delay_median,p95_end_to_end_delay_minimum,p95_end_to_end_delay_maximum,p95_end_to_end_delay_ci95_low,p95_end_to_end_delay_ci95_high,delivery_ratio_n,delivery_ratio_mean,delivery_ratio_sample_std,delivery_ratio_median,delivery_ratio_minimum,delivery_ratio_maximum,delivery_ratio_ci95_low,delivery_ratio_ci95_high,throughput_bps_n,throughput_bps_mean,throughput_bps_sample_std,throughput_bps_median,throughput_bps_minimum,throughput_bps_maximum,throughput_bps_ci95_low,throughput_bps_ci95_high,control_bytes_sent_n,control_bytes_sent_mean,control_bytes_sent_sample_std,control_bytes_sent_median,control_bytes_sent_minimum,control_bytes_sent_maximum,control_bytes_sent_ci95_low,control_bytes_sent_ci95_high,total_bytes_sent_n,total_bytes_sent_mean,total_bytes_sent_sample_std,total_bytes_sent_median,total_bytes_sent_minimum,total_bytes_sent_maximum,total_bytes_sent_ci95_low,total_bytes_sent_ci95_high
periodic,4,medium,DCF,20,0.018222910000001365,1.1772532706089776e-05,0.0182241500000013,0.018199100000001394,0.01824240000000137,0.01821775046005533,0.018228069539947402,20,0.0185214000000027,2.8687793113127038e-05,0.018515000000005243,0.018464000000005143,0.018585000000005434,0.01850882702031972,0.01853397297968568,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,409780.2020114743,22.447237800806487,409781.9431930264,409740.95088710455,409822.94368136255,409770.36407574685,409790.03994720173,20,11200.0,0.0,11200.0,11200.0,11200.0,11200.0,11200.0,20,857600.0,0.0,857600.0,857600.0,857600.0,857600.0,857600.0
periodic,4,medium,Fixed-PRMAC,20,0.021967250500000236,0.0006568614156688654,0.0218641450000003,0.02070853000000016,0.02313102000000029,0.0216793682916627,0.022255132708337774,20,0.027968190000000188,0.0019164519305214962,0.028874500000001004,0.022986999999999754,0.030202999999999907,0.027128267908717862,0.028808112091282513,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,409237.6856289438,251.92176066488264,409213.0890268804,408804.8745190606,409607.7825478684,409127.2760492996,409348.095208588,20,86974.0,7692.470960210653,86200.0,72160.0,100960.0,83602.62595553308,90345.37404446692,20,944574.0,7692.470960210653,943800.0,929760.0,958560.0,941202.6259555331,947945.3740444669
periodic,6,high,DCF,20,3.154409857579221,0.3254599377322449,3.0663107650000567,2.6515973550001064,3.795507130000082,3.01177075081368,3.2970489643447625,20,4.605657832500105,0.10451068167525511,4.619360750000095,4.376293100000121,4.727838500000067,4.559854006734366,4.651461658265845,20,0.99975,0.0011180339887498958,1.0,0.995,1.0,0.99926,1.00024,20,265857.57511919964,4072.8704973291856,264749.9401692104,259179.9763219808,274671.6647610815,264072.5609212657,267642.5893171336,20,16798.6,6.260990336999411,16800.0,16772.0,16800.0,16795.856,16801.343999999997,20,1690977.8,52892.08440987227,1703781.0,1580524.0,1769906.0,1667796.8219424223,1714158.7780575778
periodic,6,high,Fixed-PRMAC,20,0.3826311426389545,0.05033225028313218,0.37462130000001637,0.3209046455026587,0.505108844919804,0.3605720613526056,0.40469022392530335,20,0.7141580850000502,0.08730594460025956,0.6848231000000515,0.589416100000056,0.89487660000004,0.675894567714712,0.7524216022853883,20,0.9422499999999999,0.01499780685721465,0.9424999999999999,0.91,0.975,0.9356769213333556,0.9488230786666443,20,661478.4806447711,29505.128906451933,663417.4805703848,610889.8335499936,712345.2848328586,648547.2877565059,674409.6735330364,20,102975.0,1529.7178962492605,102970.0,99340.0,106020.0,102304.57157232738,103645.42842767262,20,1341456.6,11712.49015907018,1341594.0,1319508.0,1368924.0,1336323.3748604304,1346589.8251395698
periodic,6,low,DCF,20,0.027335314999994413,1.5183657246195699e-05,0.02733964999999436,0.02729159999999414,0.027355199999994428,0.0273286604688035,0.027341969531185326,20,0.02770364999999219,3.844924883840122e-05,0.027696500000007652,0.02763600000000479,0.02775800000000771,0.02768679887371124,0.02772050112627314,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,164212.03886130144,3.3828895571201185,164213.15798019475,164203.94161619904,164216.1206026287,164210.55624458345,164213.52147801942,20,16800.0,0.0,16800.0,16800.0,16800.0,16800.0,16800.0,20,1286400.0,0.0,1286400.0,1286400.0,1286400.0,1286400.0,1286400.0
periodic,6,low,Fixed-PRMAC,20,0.03041065499999777,7.529204543156998e-06,0.03040954999999774,0.030391499999997764,0.030425499999997788,0.03040735518061547,0.03041395481938007,20,0.030671549999999277,1.7694706314738844e-05,0.03066299999999916,0.030642999999999837,0.030702999999998547,0.030663794953031592,0.030679305046966962,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,164161.44456099678,2.510501454770374,164161.55966323294,164157.44767230883,164165.3428765128,164160.34428522232,164162.54483677124,20,96000.0,0.0,96000.0,96000.0,96000.0,96000.0,96000.0,20,1382400.0,0.0,1382400.0,1382400.0,1382400.0,1382400.0,1382400.0
periodic,6,medium,DCF,20,1.7328988310000721,0.17453543360648335,1.7521640700000543,1.4281389550000543,2.0525029150000873,1.6564053045708784,1.8093923574292659,20,2.626745532500117,0.2632543806800062,2.6521932500000855,2.265591900000087,3.0795994000001823,2.5113692131473973,2.7421218518528367,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,266202.92113864457,3519.2096313905563,265576.17853043263,259320.72341997852,272606.4615251913,264660.55951392377,267745.28276336537,20,16800.0,0.0,16800.0,16800.0,16800.0,16800.0,16800.0,20,1686324.0,45073.12665109071,1691085.0,1601684.0,1766732.0,1666569.831270542,1706078.168729458
periodic,6,medium,Fixed-PRMAC,20,0.03407312580653297,0.0006818415158251943,0.033977506959799356,0.03236125000000035,0.03554987939698508,0.03377429558659671,0.034371956026469225,20,0.0410631200000003,0.0013640440005248241,0.04075750000000146,0.03960999999999936,0.04622999999999955,0.04046530135854334,0.04166093864145726,20,0.99875,0.0022213082915965984,1.0,0.995,1.0,0.9977764687175572,0.9997235312824428,20,407695.426020275,908.9666704396714,407978.5927552371,405750.6699009749,408517.2250948862,407297.05381245556,408093.7982280944,20,138211.0,6577.740693549644,138660.0,119640.0,148980.0,135328.17803548786,141093.82196451214,20,1423539.0,6993.319744772977,1424082.0,1406040.0,1435380.0,1420474.0424858101,1426603.9575141899
poisson,2,high,DCF,20,0.20179558014078286,0.06614528583929903,0.20292795324919227,0.10955346588838565,0.3212723888111114,0.1728061304573288,0.23078502982423693,20,0.3577669207927858,0.10305695972420399,0.34397303039225424,0.2331107875173346,0.5330757091447624,0.3126002167632213,0.40293362482235034,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,854534.9812429475,12833.365169143306,859272.6724068387,830335.6522462011,869088.2742041607,848910.5109708841,860159.4515150109,20,5600.0,0.0,5600.0,5600.0,5600.0,5600.0,5600.0,20,475140.4,10272.612532974832,470062.0,462656.0,494396.0,470638.2290536714,479642.57094632863
poisson,2,high,Fixed-PRMAC,20,0.23503707381028377,0.058740913542054914,0.2344929261171168,0.14679846487219766,0.36557904030318744,0.2092927333651511,0.2607814142554164,20,0.44169273376230966,0.1013224428078757,0.44073971440886606,0.2925226889623192,0.6592729948263001,0.3972862152884197,0.48609925223619965,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,796542.3739705638,4260.122724325771,798882.8186577841,785034.847667056,799856.2758254149,794675.2928657633,798409.4550753642,20,32000.0,0.0,32000.0,32000.0,32000.0,32000.0,32000.0,20,460800.0,0.0,460800.0,460800.0,460800.0,460800.0,460800.0
