protocol,hop_count,packet_count,seed,measurement_end_time,created_packets,delivered_packets,dropped_packets,delivery_ratio,average_end_to_end_delay,p50_end_to_end_delay,p95_end_to_end_delay,p99_end_to_end_delay,maximum_end_to_end_delay,throughput_bps,retransmissions,collision_or_conflict_events,contention_attempts,control_frames_sent,control_bytes_sent,data_frames_sent,data_bytes_sent,total_frames_sent,total_bytes_sent,queue_overflow_drops,maximum_queue_length,average_queue_delay,maximum_queue_delay,active_reservations_after_run,terminal_sessions,simulation_end_time,wall_clock_runtime,platform,sensitivity_type,scenario_id,load_level,interarrival_time,successful_hops,difs_starts,segment_queue_entries,maximum_segment_queue_length,average_segment_queue_delay,maximum_segment_queue_delay,ack_frames_sent,ack_bytes_sent,frames_per_created_packet,bytes_per_created_packet,control_bytes_per_delivered_packet,total_segments,completed_segments,per_flow_metrics,flow_count,jain_fairness,multiflow_scenario,traffic_type
DCF,4,200,137,3.9938030000000095,200,200,0,1.0,0.07050894500000474,0.07754800000000345,0.09503500000001219,0.09849114000002702,0.10019200000001849,410235.55743735883,90,45,890,800,11200,890,941620,1690,952820,0,0,0.007353281250000672,0.0,0,200,3.9938030000000095,0.33045209999909275,python,burst,python-burst-4hop-medium-seed-137-DCF,medium,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,137,3.9611760000000014,200,200,0,1.0,0.03886620000000034,,0.057496999999999354,0.057688519999999945,0.0702459999999987,413614.54275195027,5,5,405,2410,64300,800,846400,4010,921900,0,,,,0,200,,0.10239369999908376,python,burst,python-burst-4hop-medium-seed-137-Fixed-PRMAC,medium,0.019618090452261316,800,405,400,5,0.00932167500000008,0.03731199999999957,800,11200,20.05,4609.5,321.5,400,400,,,,,
DCF,4,200,147,3.992201000000037,200,200,0,1.0,0.07180585000000683,0.07641250000003086,0.0956208500000286,0.10018929000001742,0.1677160000000284,410400.1777465576,108,53,908,800,11200,908,960664,1708,971864,0,0,0.007130153750001063,0.0,0,200,3.992201000000037,0.32964369999899645,python,burst,python-burst-4hop-medium-seed-147-DCF,medium,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,147,3.961536000000001,200,200,0,1.0,0.03873750000000032,,0.05743699999999853,0.05753659999999892,0.0575960000000042,413576.95600898226,0,0,400,2400,64000,800,846400,4000,921600,0,,,,0,200,,0.09898870000324678,python,burst,python-burst-4hop-medium-seed-147-Fixed-PRMAC,medium,0.019618090452261316,800,400,400,5,0.00928840000000007,0.03729199999999944,800,11200,20.0,4608.0,320.0,400,400,,,,,
DCF,4,200,157,4.0118180000000985,200,200,0,1.0,0.07613355500001362,0.08205949999999851,0.10435945000009104,0.11361352000002069,0.14471400000008927,408393.401694683,147,72,947,800,11200,947,1001926,1747,1013126,0,0,0.008011398750002367,0.0,0,200,4.0118180000000985,0.4151622000026691,python,burst,python-burst-4hop-medium-seed-157-DCF,medium,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,157,3.9610360000000013,200,200,0,1.0,0.038747500000000296,,0.057475999999998445,0.05761619999999999,0.05763599999999991,413629.1616637666,0,0,400,2400,64000,800,846400,4000,921600,0,,,,0,200,,0.11014820000127656,python,burst,python-burst-4hop-medium-seed-157-Fixed-PRMAC,medium,0.019618090452261316,800,400,400,5,0.009287900000000057,0.037431999999999965,800,11200,20.0,4608.0,320.0,400,400,,,,,
DCF,4,200,167,4.002767000000028,200,200,0,1.0,0.07156791000000157,0.07874800000000498,0.09650504999999225,0.10022630000001632,0.13359799999997457,409316.8550655056,108,54,908,800,11200,908,960664,1708,971864,0,0,0.007512896250000091,0.0,0,200,4.002767000000028,0.34518459999890183,python,burst,python-burst-4hop-medium-seed-167-DCF,medium,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,167,3.961296000000001,200,200,0,1.0,0.03873550000000032,,0.057397000000000004,0.05759640000000392,0.05769599999999908,413602.01307854796,0,0,400,2400,64000,800,846400,4000,921600,0,,,,0,200,,0.10516660000212141,python,burst,python-burst-4hop-medium-seed-167-Fixed-PRMAC,medium,0.019618090452261316,800,400,400,5,0.009291050000000065,0.037391999999999204,800,11200,20.0,4608.0,320.0,400,400,,,,,
DCF,4,200,177,3.993435000000025,200,200,0,1.0,0.07326146500002158,0.07936099999999709,0.10021699999999982,0.10949148000013041,0.12307900000008765,410273.3611539914,126,62,926,800,11200,926,979708,1726,990908,0,0,0.007822688750004008,0.0,0,200,3.993435000000025,0.35986570000022766,python,burst,python-burst-4hop-medium-seed-177-DCF,medium,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,177,3.9612760000000007,200,200,0,1.0,0.03875380000000031,,0.05743799999999914,0.05765700000000388,0.05779600000000418,413604.10130473104,0,0,400,2400,64000,800,846400,4000,921600,0,,,,0,200,,0.10181830000146874,python,burst,python-burst-4hop-medium-seed-177-Fixed-PRMAC,medium,0.019618090452261316,800,400,400,5,0.009293250000000067,0.037351999999999386,800,11200,20.0,4608.0,320.0,400,400,,,,,
DCF,4,200,187,4.006370000000045,200,200,0,1.0,0.07104525500000554,0.07695000000002,0.09899340000002724,0.10238728000004241,0.14393500000003634,408948.7491170266,115,57,915,800,11200,915,968070,1715,979270,0,0,0.007096535000000805,0.0,0,200,4.006370000000045,0.3549934000002395,python,burst,python-burst-4hop-medium-seed-187-DCF,medium,,,,,,,,,,,,,,,,,,,
