protocol,hop_count,packet_count,interarrival_time,seed,measurement_end_time,created_packets,delivered_packets,dropped_packets,delivery_ratio,average_end_to_end_delay,p95_end_to_end_delay,p99_end_to_end_delay,maximum_end_to_end_delay,throughput_bps,successful_hops,collision_or_conflict_events,retransmissions,contention_attempts,difs_starts,segment_queue_entries,queue_overflow_drops,maximum_segment_queue_length,average_segment_queue_delay,maximum_segment_queue_delay,control_frames_sent,control_bytes_sent,data_frames_sent,data_bytes_sent,ack_frames_sent,ack_bytes_sent,total_frames_sent,total_bytes_sent,frames_per_created_packet,bytes_per_created_packet,control_bytes_per_delivered_packet,total_segments,completed_segments,active_reservations_after_run,terminal_sessions,load_level
DCF,2,8,0.02,27,0.1490919999999999,8,8,0,1.0,0.009084500000000007,0.009330000000000041,0.009363600000000007,0.009371999999999998,439567.515359644,16,0,0,16,16,16,0,0,0.0,0.0,16,224,16,16928,16,224,32,17152,4.0,2144.0,28.0,0,0,0,8,medium
Fixed-PRMAC,2,8,0.02,27,0.15000600000000008,8,8,0,1.0,0.009986000000000004,0.01005899999999999,0.01006459999999998,0.010065999999999978,436889.19109902246,16,0,0,8,8,8,0,1,0.0,0.0,48,1280,16,16928,16,224,80,18432,10.0,2304.0,160.0,8,8,0,8,medium
DCF,2,8,0.008,7,0.07742200000000016,8,8,0,1.0,0.017011750000000027,0.027059100000000075,0.028059820000000076,0.028310000000000078,846477.745343699,16,1,2,18,22,16,0,0,0.0017472500000000088,0.009372000000000123,16,224,18,19044,16,224,34,19268,4.25,2408.5,28.0,0,0,0,8,high
Fixed-PRMAC,2,8,0.008,7,0.08185200000000002,8,8,0,1.0,0.01803150000000002,0.025047700000000034,0.025691140000000022,0.02585200000000002,800664.6141816935,16,0,0,8,8,8,0,3,0.00809050000000002,0.015886000000000046,48,1280,16,16928,16,224,80,18432,10.0,2304.0,160.0,8,8,0,8,high
DCF,2,8,0.008,17,0.0776220000000001,8,8,0,1.0,0.018801499999999992,0.02795479999999995,0.028254959999999957,0.02832999999999996,844296.7200020603,16,1,2,18,22,16,0,0,0.002423500000000001,0.013618000000000019,16,224,18,19044,16,224,34,19268,4.25,2408.5,28.0,0,0,0,8,high
Fixed-PRMAC,2,8,0.008,17,0.08155200000000003,8,8,0,1.0,0.017659000000000022,0.02472670000000004,0.025386940000000028,0.025552000000000026,803609.966647047,16,0,0,8,8,8,0,3,0.007755500000000021,0.015526000000000047,48,1280,16,16928,16,224,80,18432,10.0,2304.0,160.0,8,8,0,8,high
DCF,2,8,0.008,27,0.07692199999999998,8,8,0,1.0,0.01744249999999998,0.02680009999999997,0.027784019999999965,0.028029999999999965,851979.9277189883,16,1,2,18,23,16,0,0,0.0017704999999999952,0.009032000000000012,16,224,18,19044,16,224,34,19268,4.25,2408.5,28.0,0,0,0,8,high
Fixed-PRMAC,2,8,0.008,27,0.08221200000000001,8,8,0,1.0,0.01806150000000002,0.02539370000000002,0.02604834000000001,0.026212000000000006,797158.5656595144,16,0,0,8,8,8,0,3,0.008075500000000017,0.016206000000000033,48,1280,16,16928,16,224,80,18432,10.0,2304.0,160.0,8,8,0,8,high
DCF,4,8,0.05,7,0.3677840000000003,8,8,0,1.0,0.018164000000000187,0.018382000000000284,0.018415600000000077,0.018424000000000024,178191.54721249416,32,0,0,32,32,32,0,0,0.0,0.0,32,448,32,33856,32,448,64,34304,8.0,4288.0,56.0,0,0,0,8,low
Fixed-PRMAC,4,8,0.05,7,0.370284,8,8,0,1.0,0.020131499999999997,0.020335999999999986,0.020358399999999992,0.020363999999999993,176988.47371206965,32,0,0,16,16,16,0,1,0.0,0.0,96,2560,32,33856,32,448,160,36864,20.0,4608.0,320.0,16,16,0,8,low
